"ID","age","gender","consent","expectedMemory","memoryCond","instructionCond","listlength","deltaLength","numEnd","ListRecency","Position","WordPresented","WordRecalled","Inpos","Box"
10008,21,2,1,1,1,1,25,0,1,-1,5,"Violin","End",26,NA
10008,21,2,1,1,1,1,25,0,1,-1,6,"Beach-ball","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,7,"Spider","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,8,"Raspberry","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,9,"Goggles","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,10,"Dog","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,11,"TV","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,12,"Bagel","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,13,"Piano","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,14,"Lemming","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,15,"Saxophone","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,16,"Quail","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,17,"Mattress","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,18,"Credit card","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,19,"Fig","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,20,"Buffalo","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,21,"Yacht","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,22,"Fruit cake","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,23,"Hamper","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,24,"Lemon","",27,NA
10008,21,2,1,1,1,1,25,0,1,-1,25,"Plate","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,1,"Oar","Oar",1,1
10008,21,2,1,1,1,1,25,0,1,0,2,"Mosquito","Mosquito",2,2
10008,21,2,1,1,1,1,25,0,1,0,3,"Lance","Lance",3,3
10008,21,2,1,1,1,1,25,0,1,0,4,"Dish","House",20,20
10008,21,2,1,1,1,1,25,0,1,0,5,"Dresser","Key",21,21
10008,21,2,1,1,1,1,25,0,1,0,6,"Goose","Dish",4,4
10008,21,2,1,1,1,1,25,0,1,0,7,"Crumpet","Dresser",5,5
10008,21,2,1,1,1,1,25,0,1,0,8,"Train","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,9,"Monkey","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,10,"Hut","",27,NA
