"id","listid","study_position","color_condition","trial_condition","stimulus_condition","presented_color","word1","word2","studyRT","resp","expect_test","use_help","exp_duration","output_pos1","testRT1","output_pos2","testRT2","acc1","acc2","acc","exclude","cue_prioritem1","cue_prioritem","cue_consec_value","cue_consec_lab","math_acc","n"
"17788",1,1,"blue","remember","pairs","blue","lawyer","tank",3246.31599999817,"smaller","No","No",10.8960285000001,NA,NA,NA,NA,0,0,0,FALSE,NA,NA,NA,NA,0.625,24
"17788",1,2,"blue","remember","pairs","blue","basement","school",3482.13299999438,"smaller","No","No",10.8960285000001,2,5119.70799999574,1,3057.19900000739,1,1,1,FALSE,"remember","remember",0.5,"remember1",0.625,24
"17788",1,3,"blue","process","pairs","red","glove","sandwich",4404.61999999765,"smaller","No","No",10.8960285000001,NA,NA,NA,NA,0,0,0,FALSE,"remember","remember",1.5,"remember2",0.625,24
"17788",1,4,"blue","remember","pairs","blue","pole","purse",2547.08800000836,"larger","No","No",10.8960285000001,NA,NA,NA,NA,0,0,0,FALSE,"process","process",-0.5,"process1",0.625,24
"17788",1,5,"blue","process","pairs","red","basket","bedroom",2682.64800000386,"smaller","No","No",10.8960285000001,NA,NA,NA,NA,0,0,0,FALSE,"remember","remember",0.5,"remember1",0.625,24
"17788",1,6,"blue","process","pairs","red","burger","piano",1388.89099999744,"smaller","No","No",10.8960285000001,NA,NA,NA,NA,0,0,0,FALSE,"process","process",-0.5,"process1",0.625,24
"17788",1,7,"blue","process","pairs","red","flower","universe",1074.78599999841,"smaller","No","No",10.8960285000001,NA,NA,NA,NA,0,0,0,FALSE,"process","process",-1.5,"process2",0.625,24
"17788",1,8,"blue","process","pairs","red","horn","lamp",1573.26699999893,"smaller","No","No",10.8960285000001,NA,NA,NA,NA,0,0,0,FALSE,"process","process",-2.5,"process3",0.625,24
"17788",1,9,"blue","remember","pairs","blue","church","fruit",1179.37900000073,"larger","No","No",10.8960285000001,NA,NA,NA,NA,0,0,0,FALSE,"process","process",-2.5,"process3",0.625,24
"17788",1,10,"blue","process","pairs","red","highway","opera",5322.4150000043,"larger","No","No",10.8960285000001,NA,NA,NA,NA,0,0,0,FALSE,"remember","remember",0.5,"remember1",0.625,24
