"id","listid","study_position","color_condition","trial_condition","presented_color","word1","studyRT","resp","expect_test","use_help","recall_all_q","output_pos1","testRT","acc","cue_prioritem1","cue_prioritem","cue_consec_value","cue_consec_lab","X","larger_p","sizeRT","size_group","lp_prioritem1","lp_prioritem","sizeg_prioritem1","sizeg_prioritem","size_diff"
"19231",1,1,"red","process","blue","orange",3503.44799999594,"larger","No","No","Yes",NA,NA,0,NA,NA,NA,NA,114,"0",1389.25200000464,"0",NA,NA,NA,NA,NA
"19231",1,2,"red","process","blue","nanny",2810.11299994192,"larger","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",107,"0.97",1486.07750004,"2","0","0","0","0",2
"19231",1,3,"red","process","blue","dice",1058.06499996368,"smaller","No","No","Yes",NA,NA,0,"process","process",-1.5,"process2",61,"0.01",1301.50900000005,"0","0.97","0.97","2","2",-2
"19231",1,4,"red","remember","red","purse",6384.48000001437,"larger","No","No","Yes",1,5527.29099995404,1,"process","process",-2.5,"process3",133,"0.14",1783.37199999322,"0","0.01","0.01","0","0",0
"19231",1,5,"red","remember","red","bread",2424.10399993288,"larger","No","No","Yes",3,1344.07199997123,1,"remember","remember",0.5,"remember1",21,"0.28",1634.0530000013,"1","0.14","0.14","0","0",1
"19231",1,6,"red","process","blue","turtle",3180.51999996192,"larger","No","No","Yes",NA,NA,0,"remember","remember",1.5,"remember2",168,"0.47",2031.28700013083,"1","0.28","0.28","1","1",0
"19231",1,7,"red","process","blue","goat",2275.24599996506,"larger","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",79,"0.93",1482.73999999999,"2","0.47","0.47","1","1",1
"19231",1,8,"red","process","blue","glove",1257.53599995337,"smaller","No","No","Yes",NA,NA,0,"process","process",-1.5,"process2",78,"0.05",1872.6590000171,"0","0.93","0.93","2","2",-2
"19231",1,9,"red","remember","red","cabin",1118.30999992558,"larger","No","No","Yes",NA,NA,0,"process","process",-2.5,"process3",30,"0.96",1509.23850001342,"2","0.05","0.05","0","0",2
"19231",1,10,"red","remember","red","elevator",1465.823999949,"smaller","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",68,"0.99",1494.99999999994,"2","0.96","0.96","2","2",0
"19231",1,11,"red","process","blue","palace",1597.43999992538,"larger","No","No","Yes",NA,NA,0,"remember","remember",1.5,"remember2",115,"0.97",1318.67450000487,"2","0.99","0.99","2","2",0
"19231",1,12,"red","remember","red","bedroom",1222.55899999378,"smaller","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",11,"0.98",1545.38050000663,"2","0.97","0.97","2","2",0
"19231",1,13,"red","process","blue","tiger",2943.39199995514,"smaller","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",160,"0.93",1491.39200000139,"2","0.98","0.98","2","2",0
"19231",1,14,"red","process","blue","cookie",1106.38999993782,"smaller","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",51,"0.06",1541,"0","0.93","0.93","2","2",-2
"19231",1,15,"red","process","blue","passport",2611.37099996416,"larger","No","No","Yes",NA,NA,0,"process","process",-1.5,"process2",116,"0.09",1438.31699995766,"0","0.06","0.06","0","0",0
"19231",1,16,"red","process","blue","school",1050.31499993327,"larger","No","No","Yes",NA,NA,0,"process","process",-2.5,"process3",141,"0.95",1458.22699999844,"2","0.09","0.09","0","0",2
"19231",1,17,"red","remember","red","apple",1106.14799993465,"smaller","No","No","Yes",NA,NA,0,"process","process",-2.5,"process3",2,"0.05",1478.68200000431,"0","0.95","0.95","2","2",-2
"19231",1,18,"red","process","blue","lion",1211.81999996246,"larger","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",100,"0.97",1492.27800001407,"2","0.05","0.05","0","0",2
"19231",1,19,"red","remember","red","universe",974.538999999058,"larger","No","No","Yes",4,4146.47199995659,1,"process","process",-0.5,"process1",170,"0.95",1398.19600004651,"2","0.97","0.97","2","2",0
"19231",1,20,"red","remember","red","nurse",1870.65399991407,"smaller","No","No","Yes",2,1422.87199992209,1,"remember","remember",0.5,"remember1",111,"0.97",1646.04599998507,"2","0.95","0.95","2","2",0
"19231",1,21,"red","remember","red","sink",2004.96499992214,"smaller","No","No","Yes",NA,NA,0,"remember","remember",1.5,"remember2",145,"0.88",1538.00000000006,"2","0.97","0.97","2","2",0
"19231",1,22,"red","process","blue","eagle",4324.60499993255,"larger","No","No","Yes",NA,NA,0,"remember","remember",2.5,"remember3",65,"0.82",1791.70799999807,"2","0.88","0.88","2","2",0
"19231",1,23,"red","remember","red","rabbit",1332.9929999155,"smaller","No","No","Yes",NA,NA,0,"process","process",-0.5,"process1",134,"0.4",1743.23900000006,"1","0.82","0.82","2","2",-1
"19231",1,24,"red","remember","red","sheep",3576.83499991,"larger","No","No","Yes",NA,NA,0,"remember","remember",0.5,"remember1",143,"0.97",1454.98,"2","0.4","0.4","1","1",1
